PLAYER_NAME,Anatomical sub-areas,TEAM_ABBREVIATION (groups),Average of recovery_time, Sum of team_losses ,Count of SEASON_ID, Avg Cost per Season , Average of salaries INF ,Avg Cost per Seasons
Marko Jaric,Unclassified,MEM & VAN,-1," $9,389,671.00 ",1," $9,389,671.00 "," $9,389,671.00 "," $9,389,671.00 "
T.J. Ford,Abdominal area,IND,331," $9,352,456.00 ",1," $9,352,456.00 "," $11,619,718.00 "," $9,352,456.00 "
Shaquille O'Neal,Hip area,MIA,81.67," $9,325,681.60 ",1," $9,325,681.60 "," $29,411,765.00 "," $9,325,681.60 "
Donatas Motiejunas,Unclassified,HOU,22.67," $37,302,292.90 ",2," $18,651,146.50 "," $32,046,294.90 "," $9,325,573.25 "
Chris Dudley,Unclassified,PHX,47," $9,313,708.90 ",1," $9,313,708.90 "," $9,209,060.50 "," $9,313,708.90 "
Ron Mercer,Unclassified,IND,367," $9,192,994.10 ",1," $9,192,994.10 "," $9,384,514.90 "," $9,192,994.10 "
Tristan Thompson,Foot area,CLE,42," $9,156,626.40 ",1," $9,156,626.40 "," $19,759,036.00 "," $9,156,626.40 "
Reggie Jackson,Ankle area,DET,83," $9,153,869.10 ",1," $9,153,869.10 "," $19,753,086.00 "," $9,153,869.10 "
Larry Nance Jr.,"Hand, Thumb & Fingers area",CLE,255," $9,150,327.10 ",1," $9,150,327.10 "," $13,176,471.00 "," $9,150,327.10 "
Hedo Turkoglu,Thoracolumbar area,TOR,79," $9,115,478.90 ",1," $9,115,478.90 "," $14,324,324.00 "," $9,115,478.90 "
Caris LeVert,Ankle area,IND,73," $9,112,085.30 ",1," $9,112,085.30 "," $19,662,921.00 "," $9,112,085.30 "
Caris LeVert,Foot area,IND,270," $9,112,085.30 ",1," $9,112,085.30 "," $19,662,921.00 "," $9,112,085.30 "
Eddy Curry,Thigh area,NYK,74.5," $9,043,927.70 ",1," $9,043,927.70 "," $13,888,889.00 "," $9,043,927.70 "
Donovan Mitchell,Abdominal area,UTA,55," $9,016,846.80 ",1," $9,016,846.80 "," $33,608,247.00 "," $9,016,846.80 "
E'Twaun Moore,Thigh area,NOH & NOK & NOP,113.33," $8,867,176.10 ",1," $8,867,176.10 "," $10,240,964.00 "," $8,867,176.10 "
